INFO 2025-10-05 21:47:43,163 autoreload 24960 16548 Watching for file changes with StatReloader
INFO 2025-10-06 22:49:04,335 basehttp 15924 21408 "GET / HTTP/1.1" 200 1642
INFO 2025-10-06 22:49:04,529 basehttp 15924 21408 "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
INFO 2025-10-06 22:49:04,555 basehttp 15924 9084 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
INFO 2025-10-06 22:49:04,563 basehttp 15924 9752 "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 200 2093
INFO 2025-10-06 22:49:04,571 basehttp 15924 21408 "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 200 14964
INFO 2025-10-06 22:49:04,577 basehttp 15924 5184 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 200 1046583
INFO 2025-10-06 22:49:04,609 basehttp 15924 23028 "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 200 56904
INFO 2025-10-06 22:49:04,672 basehttp 15924 19508 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 200 322863
INFO 2025-10-06 22:49:04,753 basehttp 15924 5184 - Broken pipe from ('127.0.0.1', 54620)
INFO 2025-10-06 22:49:04,796 basehttp 15924 19508 "GET /?format=openapi HTTP/1.1" 200 14152
INFO 2025-10-06 22:49:09,154 basehttp 15924 19508 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-10-06 22:49:09,301 basehttp 15924 19508 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4185
INFO 2025-10-06 22:49:09,345 basehttp 15924 9752 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-10-06 22:49:09,345 basehttp 15924 9084 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-10-06 22:49:09,346 basehttp 15924 21408 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2025-10-06 22:49:09,346 basehttp 15924 23028 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-10-06 22:49:09,349 basehttp 15924 19508 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2025-10-06 22:49:09,368 basehttp 15924 23712 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-10-06 22:49:09,375 basehttp 15924 9752 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-10-06 22:49:09,460 log 15924 19508 Not Found: /favicon.ico
INFO 2025-10-06 22:49:09,460 basehttp 15924 19508 - Broken pipe from ('127.0.0.1', 54621)
INFO 2025-10-06 22:49:35,402 basehttp 15924 9084 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-10-06 22:49:35,453 basehttp 15924 9084 "GET /admin/ HTTP/1.1" 200 8220
INFO 2025-10-06 22:49:35,504 basehttp 15924 9084 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-10-06 22:49:35,522 basehttp 15924 23028 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-10-06 22:49:35,523 basehttp 15924 9084 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-10-06 22:49:53,528 basehttp 15924 9084 "GET /admin/auth/group/add/ HTTP/1.1" 200 14005
INFO 2025-10-06 22:49:53,555 basehttp 15924 9084 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-10-06 22:49:53,556 basehttp 15924 9752 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-10-06 22:49:53,556 basehttp 15924 23712 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-10-06 22:49:53,556 basehttp 15924 23028 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-10-06 22:49:53,557 basehttp 15924 21408 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-10-06 22:49:53,574 basehttp 15924 9084 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-10-06 22:49:53,585 basehttp 15924 23508 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2025-10-06 22:49:53,596 basehttp 15924 9752 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-10-06 22:49:53,601 basehttp 15924 23028 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2025-10-06 22:49:53,611 basehttp 15924 21408 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-10-06 22:49:53,617 basehttp 15924 9084 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-10-06 22:49:53,627 basehttp 15924 9752 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15292
INFO 2025-10-06 22:49:53,627 basehttp 15924 23508 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-10-06 22:49:53,631 basehttp 15924 9752 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-10-06 22:49:53,635 basehttp 15924 23028 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-10-06 22:49:53,644 basehttp 15924 21408 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-10-06 22:49:53,653 basehttp 15924 9752 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-10-06 22:49:53,654 basehttp 15924 23508 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-10-06 22:49:53,655 basehttp 15924 23028 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2025-10-06 22:49:53,661 basehttp 15924 23712 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-10-06 22:49:53,712 basehttp 15924 9084 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2025-10-06 22:49:53,788 basehttp 15924 9084 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
